ID,Produto,Preco,supabase
,,,1
7898716455640,IMUNO 550MG C+D+Z 60CP THERAPI,"R$ 30,55",2
7898495608381,VITERGYL C 1G C/10 CIFARMA,"R$ 37,37",3
7894650006115,REPEL EXPOSIS ELETRIC APAR+REFIL,"R$ 37,40",4
7896108020124,BIOIMMUNE 2.000UI C/30CP BIONATUS,"R$ 22,62",5
7896920307274,COMPLEXO B C/30CP ECOFITUS,"R$ 46,99",6
7896472520206,RESFEGRIPE 20CAP MULTILAB,"R$ 15,38",7
7897984715920,REPEL VINI LADY AERO REPELSET 200ML,"R$ 17,51",8
7894650006122,REPEL EXPOSIS ELETRICO REFIL LIQ C/1UNID,"R$ 24,73",9
7898449402867,MOUSSE MIC ANTIACNE 150ML PHALLEBEAUTY,"R$ 45,93",10
7891234560032,MINI CX SOM PORTATIL BLUETOOTH,"R$ 41,26",11
7897473116399,FONE DE OUVIDO COM FIO C/1UNID,"R$ 37,84",12
7895215451388,SUPORTE P/CELULAR MOTO 5.5 POLEGADAS EBAI FZF-19MTO-1,"R$ 20,23",13
7894560001828,"CARREG P/CELULAR USB-C C/2ENTR USB ECOODA (ENTRADAS TIPO C, MICRO USB E IOS)","R$ 35,75",14
6925644700120,SUPORTE P/CELULAR VEICULAR UNIVERSAL EBAI FZF-YC032,"R$ 46,47",15
7896004708539,LOSARTANA POTASSICA 50MG C/30 COMP GERMED,"R$ 17,51",16
7896523214351,PANTOPRAZOL 20MG C/28 COMP CIMED,"R$ 30,64",17
7896714211978,HIDROCLOROTIAZIDA 25MG C/30 COMP NEO QUIMICA,"R$ 34,72",18
7896422519830,IBUPROFENO 100MG GTS 20ML MEDLEY,"R$ 41,26",19
7891317180539,"DESOGESTREL 0,075MG CX 28 COMP REV","R$ 158,43",20
7896004713625,ALGESTONA ACETOFENIDA+ENANTATO ESTRADIOL150MG INJ 1ML GERMED,"R$ 25,40",21
7896112149460,BESILATO ANLODIPINO 5MG C/30 COMP TEUTO,"R$ 34,60",22
7896422506243,DIPIRONA SOL ORAL 100ML MEDLEY,"R$ 40,57",23
7896523201887,DIPIRONA 1G C/10 COMP CIMED,"R$ 31,98",24
7896422504478,SULFATO NEOMICINA+BACITRACINA POM 50G,"R$ 42,27",25
7896004734408,"DROSPIRENONA+ETINILESTRADIOL 3MG+0,03MG C/21 GERMED","R$ 46,07",26
7899095239227,ACETILCISTEINA 600MG 16ENV GEOLAB,"R$ 25,12",27
7896714228389,GUAIFENESINA 200MG/15ML SOL 120ML NEO QUIMICA,"R$ 32,23",28
7895296445863,DIPIRONA 500MG C/10 COMP NOVA QUIMICA,"R$ 21,90",29
7895296284042,NISTATINA+OXIDO DE ZINCO POM 60G NOVA QUIMICA,"R$ 29,73",30
7899095202917,LORATADINA 10MG C/12 CPR GEOLAB,"R$ 13,87",31
7898650425204,DERMI FACE COLAGENO VERISOL 60CPS - FORHEALTH,"R$ 39,79",32
7896902209114,ACETONA 100ML FARMAX,"R$ 21,94",33
7896044997580,BODY SPLASH GIOVANNA BABY 260ML,"R$ 42,85",34
7896007541874,ABS INTUMUS SUPER 8 UNIDADES,"R$ 39,38",35
7898971419418,AXIS AZ FEMME 60 COMPRIMIDOS,"R$ 41,11",36
7897947607996,LAVITAN CABELO E UNHA 30 COMPRIMIDOS CIMED,"R$ 40,03",37
7908346900691,ESFOLEANTE ROSA MOSQUETA 100G DERMA CHEM,"R$ 19,72",38
7898489511086,LEITE DE AVEIA CLASSICO 180ML DAVENE,"R$ 19,68",39
7896046701826,BANHO DE LUA KIT CLAREADOR - CLESS,"R$ 44,09",40
7897947617599,LAVITAN ZMA FEMME 30 COMPRIMIDOS - CIMED,"R$ 31,60",41
7897947612334,BEPANTRIZ DERMA 50ML SOLUÇÃO SPRAY,"R$ 20,81",42
7896023782770,CITRUSEC MOROSIL 60 CAPSULAS,"R$ 44,75",43
7896094927032,BUSCOFEM HOT 1 ADESIVOS,"R$ 18,00",44
7891150095922,SEDA BOOM CREME DE HIDRATAÇÃO PARA PENTEAR 1KG,"R$ 49,34",45
7500435020442,AMPOLAS NUTRIÇÃO UMECTANTE PANTENE 3AMP 15ML,"R$ 43,48",46
7890704808131,SAB. LIQUIDO INTIMO NIVEA 250ML,"R$ 30,09",47
7896004732930,IBUFLEX 400MG 8 CPS,"R$ 48,38",48
7896012880531,ABS BIGFRAL 3 EM 1 PÓS PARTO - PÓS OPERATORIO 20 UNIDADES,"R$ 26,58",49
7896229909810,TONICO CRESCIMENTO ALECRIN 115ML - NATUHAIR,"R$ 37,78",50
7896104991978,LENCO UMED LOVE CARE C/50 UN,"R$ 25,81",51
7896523208985,BABYMED ROSA POM 45G,"R$ 39,25",52
7899706244121,SHAMPOO ELSEVE 200ML PURE HIALURO,"R$ 36,35",53
7899706244084,CONDICIONADOR ELSEVE 200ML PURE HIALURO,"R$ 24,19",54
7891025123507,APTAMIL PROFUTURA GOLD 2 800G,"R$ 27,32",55
7897947617025,ACNEZIL SAB PELE ACNEICA 70G,"R$ 22,92",56
7891025107842,MILNUTRI PREMIUM 800G,"R$ 37,75",57
78922686,OLEO PAIXAO TENTACAO 200ML,"R$ 39,63",58
7896512914262,SHAM GRANADO BEBE LAVANDA 250ML,"R$ 48,93",59
7898935462047,COTONETES FLEXIVEIS MINIONS,"R$ 45,10",60
42277217,CREME NIVEA LATA 29G,"R$ 36,01",61
4005900308719,PROTETOR SOLAR NIVEA P&H FPS 70 C/ 200ML,"R$ 13,02",62
75076818,DESODORANTE REXONA CLINICAL 58G,"R$ 37,13",63
7501007454788,TINTA KOLESTON,"R$ 13,39",64
7891033545995,KIT SH 250ML+COND 125ML SIAGE,"R$ 38,87",65
78922686,HIDRATANTE PAIXÃO 200 ML,"R$ 25,53",66
7896111919552,"ESMALTE IMPALA 7,5ML, EXCETO LINHA IMPREVISÍVEL","R$ 14,72",67
7896679226833,ACETONA IDEAL 100 ML,"R$ 16,44",68
3282770153507,ACTINE + VITAMINA C GEL LIMP 400G,"R$ 63,89",69
7891142200235,EPIDRAT CALM 40G,"R$ 45,76",70
7908615000169,CICAPLAST BAUME B5 20ML,"R$ 43,85",71
7896026172271,SUN MAX SENSITIVE FPS30 FAMILY 160G,"R$ 47,94",72
7896331707670,HELIODERM KIT PROT.FPS50 200ML +FACIAL FPS50 50ML,"R$ 24,12",73
7898244720036,KIT IMECAP HAIR L90 P60CPS,"R$ 13,23",74
7897947617940,"CARMED ANA CASTELA 10g brigadeiro, doce de leite, leite condensado","R$ 24,33",75
7896685301395,KRONEL SAB.LIQ.250ML,"R$ 30,65",76
7899706254403,DERCOS SH.ENERGY+ ANTIQUEDA 400ML,"R$ 32,92",77
7896006212379,VITA SUPRAZ MULHER 60CPR,"R$ 42,45",78
7908654009376,BODY SPLASH AURA BEAUTY AFRODITE GARDEN 200ML,"R$ 30,57",79
7908625100064,BODY SPLASH YASMIN BEAUTY GOXXTOSA 200ML,"R$ 41,69",80
7898496356823,CHAPA GAMA LICHIA CERAMIC ION BIVOLT,"R$ 37,26",81
7896443138744,CHAPA MALLORY ULTRA LISS BIVOLT,"R$ 18,32",82
7891356068584,DEPILADOR PHILCO CORPO E ROSTO AQUA DELUXE,"R$ 18,37",83
75076818,DES.REX.CLINICAL WOMEN CLASSIC 58G,"R$ 47,61",84
7898496356342,ESCOVA SECADORA GAMA GLAMOUR PINK 3D 220V,"R$ 13,28",85
8411061097601,KIT ANTONIO B.THE ICON FEM EDP 100ML+DES.150ML,"R$ 44,77",86
7898214625866,KIT BARRO MINAS SH+COND.GRATIS CRONO (LOÇÃO VEGETAL),"R$ 42,93",87
