nome,quantidade
"""""""ADAPALENO 01% GEL 30G MEDLEY""""""",1
"""""""ADVANTAN 01% CREME 15G""""""",1
"""""""ALPRAZOLAM 05MG C/ 30CPR GEN GERMED""""""",1
"""""""ALPRAZOLAM 05MG C/30CPR GEN MEDLEY""""""",1
"""""""AMOXICILINA+CLAVULANATO DE POTASSIO 250MG/ 5ML+ 625MG/ 5ML""",1
"""""""AZITROMICINA 900MG SUSP 225ML NEO QUIMI""""""",1
"""""""CETRILAN 02% CR 40G""""""",1
"""""""ESSENCIA EXPLODIU GOSTEI PLURI 00000000296413""""""",1
"""""""ESSENCIA NOSSA MUITO EU PLURI 00000000296414""""""",1
"""""""ESSENCIA QUEM DIRIA VIDA PLURI 00000000278210""""""",1
"""""""LOCAO HIDRAT INFAN. BEBE VIDA PRIMEIROS MESES 1X200ML""""""",1
"""""""MAXIFLOX D POMADA OFTALMICA 35G""""""",1
"""""""MAXIFLOX POMADA OFTALMICA 35G""""""",1
"""""""MELOCOX 15MG INJ 15ML C/5 AMPOLAS""""""",1
"""""""MOMETASONA 01% CREME 20G GERMED""""""",1
"""""""NEODIA 15MG 1CPR""""""",1
"""""""NOVANLO 25MG 60CPR""""""",1
"""""""PARTIU CHIPS DE FRUTA DE BANANA LIOFILIZADA20 GR ORGANZA""""""",1
"""""""PARTIU CHIPS DE FRUTA DE COCO LIOFOLIZADO20 GR ORGANZA""""""",1
"""""""REGENCEL POM OF 35GR""",1
"""""""ROZEX GEL 075% 30G""""""",1
"""""""TIMOLOL 03% COL 5ML GER GERMED""""""",1
"""""""TIMOLOL 05% 5ML TEUTO""""""",1
"""""""TOBRAMICINA 03% COL 5ML GER GERMED""""""",1
"""""""VITACID CR 0050% 25G""""""",1
"""""""VITANOL A CR 0025% 30G""""""",1
"""- DEXCLOR MAL 04MG/ML SOL PL 100 ML / GEN MALEATO DE DEXCLO"",",1
"""24 LT - SH FORCA PIMENTA"",",1
"""ABLOK PLUS 25/12",1
"""ABLOK PLUS 50/12",1
"""ACCUFINE AG 023X4MM C5 PROMO BAG"",",1
"""ACERTALIX 10+2",1
"""ACERTALIX 5+125MG C/30 COMP REV-OUTROS"",",1
"""ACERTANLO 3",1
"""ACETATO DE CIPROTERONA + ETINIL 2MG+0035MG X 21 COM REV (CL"",",1
"""ACNIBEN ON THE SPOT 138G"",",1
"""ADAPALENO 01% GEL 30G MEDLEY""",1
"""ADAPTIS FRESH SOL OFTALMICA 04% 10ML-OUTROS"",",1
"""ADINOS GEN 05 + 1MG GEL 30GR"",",1
"""ADVANTAN 01% CREME 15G""",1
"""AGULHA 30X80 BD"",",1
"""AGULHA DESC 13X030 CX C100""",1
"""AGULHA DESC 20X0",1
"""AGULHA DESC 40 X 120MM COM 100UN ROSA"",",1
"""AGULHA DESC. 13X38 CX C/100 UND"",",1
"""AGULHA HYPODERMICA 22G DESC 25X0",1
"""ALCOOL GEL 70% (SEPTPROGEL) 44KG""",1
"""ALEKTOS 2",1
"""ALENTHUS XR 37",1
"""ALERADINA XPE 0",1
"""ALPRAZOLAM 0",1
"""ALPRAZOLAM 025MG 30CPR GEN EMS"",",1
"""ALPRAZOLAM 025MG C/ 30 CPR GEN GERMED"",",1
"""ALPRAZOLAM 025MG C/30CPR GEN MEDLEY"",",1
"""ALPRAZOLAM 05 MG C/ 30 CPR GEN LEGRAND"",",1
"""ALPRAZOLAM 05 MG C/ 30CPR GEN NOVA QUIMICA"",",1
"""ALPRAZOLAM 05MG C/ 30 CPR GEN EMS"",",1
"""ALPRAZOLAM 05MG C/ 30CPR GEN GERMED""",1
"""ALPRAZOLAM 05MG C/30CPR GEN MEDLEY""",1
"""AMILORIDA+HCT 2",1
"""AMORA 2MG+003MG 63CPR"",",1
"""AMOXICILINA+CLAVULANATO DE POTASSIO 250/625 MG/5 ML GEN NO",1
"""AMOXICILINA+CLAVULANATO DE POTASSIO 250MG/ 5ML+ 625MG/ 5ML",1
"""ANASOL LIP CARE - FPS 15 - 75 G"",",1
"""ANDROGEL PUM162MG/G 60AC 88G"",",1
"""ANGIPRESS CD 50/12",1
"""ANJO INDUSTRIAL BCO GEADA 09L"",",1
"""ANORO 62",1
"""APIXABANA 2",1
"""APRAZ 0",1
"""APRAZ 025MG 30CPR"",",1
"""ARADOIS H 50/12",1
"""ARLIVRY 70 MG/ML SOL OR FR 100 ML"",",1
"""ATACAND HCT 16 12",1
"""ATACAND HCT 8MG/12",1
"""ATAD. CREPE 08CM X 180 13F"",",1
"""ATAD. CREPE 10CM 13F. 10 X 180MT"",",1
"""ATELOP 2",1
"""ATENOLOL+CLOR 50 12",1
"""ATENOLOL+CLORT 50 12",1
"""ATENOLOL+CLORTALID 50+12",1
"""ATL HIPER MASS FLAVO CHOCOLAT SC 2",1
"""ATL HIPER MASS FLAVO MORAN SC 2",1
"""ATRACE 37",1
"""AVAMYS 27",1
"""AVODART 0",1
"""AXIS TREONAT 450MG 30 CPS 13",1
"""AXONIUM 2",1
"""AZITROMICINA 1500MG 200MG/5ML PÓ SUSP. 375 ML GEN EUROFAR"",",1
"""AZITROMICINA 1500MG 37",1
"""AZITROMICINA 900MG SUSP 225ML NEO QUIMI""",1
"""AZITROMICINA DI-HIDRATADA 900 MG 200MG/5ML SUSP. 225 ML G"",",1
"""BALA GENGIBREMEL E PROP 45GR"",",1
"""BANDEIRA DO BRASIL COPA DO MUNDO (0",1
"""BART H 150MG+12",1
"""BART H 300MG+12",1
"""BATOM 24H COLOR 38G UN-0001-UN"",",1
"""BATOM 24H VERDE C12 34G UN-0001-UN"",",1
"""BELPELE 01% GEL 30GR""",1
"""BELPELE 03% GEL 30GR""",1
"""BENICAR HCT 4012",1
"""BENICAR HCTZ 2012",1
"""BENICAR TRIPLO 20+12",1
"""BENICAR TRIPLO 40+12",1
"""BESILATO DE LEVANLODIPINO 2",1
"""BIANCO 3",1
"""BIMATOPROSTA 003% COLIRIO 3ML"",",1
"""BIMATOPROSTA 03MG COL 3ML GEOLAB"",",1
"""BIMATOPROSTA 03MG/ML OFTAL MED-GENERICO"",",1
"""BIMATOPROSTA 03MG/ML SOL OFT 3 ML"",",1
"""BIMATOPROSTA 1",1
"""BIOFENAC GEL 11",1
"""BISOPROLOL 2",1
"""BOMBOM FERRERO ROCHER 37",1
"""BOMBOM NESTLE KIT KAT CHOCOLATE BRANCO 24X41",1
"""BRAMICAR HCT 40 12",1
"""BRAMICAR HCT 80/12",1
"""BRASART HCT 160+12",1
"""BRASART HCT 16012",1
"""BRASART HCT 320/12",1
"""BRASART HCT 80+12",1
"""BRAVAN HCT 160+12",1
"""BRONCHO VAXOM AD 70MG CPS 1X30-OUTROS"",",1
"""BRONCHO VAXOM INF 3",1
"""CABERGOLINA 0",1
"""CABO PP FLEXIVEL 1KV 2X40 MM CORFIO SIL"",",1
"""CALAMED AEROSSOL LT 92",1
"""CALCIO MAGNESIO+ K2D3 C/90 CAPS""",1
"""CALMASYN 3784MG/ML SOL ORAL X100ML"",",1
"""CANABIDIOL 23",1
"""CANABIDIOL NUNATURE 3436MG/ML 30ML"",",1
"""CANDESART+HCT 8/12",1
"""CANDESARTANA HCT 16/12",1
"""CARDBET 3125MG 30CPR (CARVEDILOL)"",",1
"""CARELI 0075MG 28CPR REV(DESOGESTREL)EMS"",",1
"""CARVAO BRAZINHA 4",1
"""CARVAO DE 25 KG"",",1
"""CARVEDILOL 12",1
"""CARVEDILOL 3125 MG 30 CP G BIOLAB"",",1
"""CARVEDILOL 625MG 30CPR BIOLAB"",",1
"""CARVEDILOL 625MG 30CPR BIOSINTETICO"",",1
"""CARVEGRAN 3125MG 30CPR - CARVEDILOL"",",1
"""CARVEGRAN 625MG 30CPR"",",1
"""CATETER TIPO OCULIS 110CM MEDSONDA"",",1
"""CELESTRAT 2MG + 025MG COM X 20"",",1
"""CETOTIFENO 02MG/ML XPE PL 120ML+CP / GEN FUMARATO DE CETOTI"",",1
"""CETRILAN 02% CR 40G""",1
"""CHERRY 2+003MG C 28 COMP REV""",1
"""CHERRY 2+003MG C/21 COMP REV"",",1
"""CICAPLAST LABIO 7",1
"""CINATREX POMADA 35 G CIFARMA"",",1
"""CIPROTERONA+ETINIL 2+0035MG 63 CPRS"",",1
"""CLAVULIN BD 200MG + 285 MG/5 ML SUSP 70ML(PBM)"",",1
"""CLAVULIN ES 600+429 MG / 5 ML SUSP. 100 ML"",",1
"""CLAVULIN ES 600+429MG SUSP 50ML"",",1
"""CLOBETASOL PROP 0",1
"""CLONAZEPAM 0",1
"""CLONAZEPAM 2",1
"""CLONAZEPAM 25 MG/ML GTS 20ML GEN TEUTO"",",1
"""CLOPERASTINA 34MG XPE FR 120ML+COPO EMS"",",1
"""CLOR OLOPATADINA 1MG 50ML RANBAXY"",",1
"""CLOR OLOPATADINA 2MG 2",1
"""CLORIDRATO DE TRAMADOL+PARACETAMOL 37",1
"""CLORIDRATO DE VENLAFAXINA 37",1
"""CLORTALIDONA 12",1
"""COBAPETIT 08 MG/ML+4MG/G X 100ML XPE""",1
"""COCICHIMIL 0",1
"""COLANFLEX 0",1
"""COLCHICINA 0",1
"""COLCHIS 0",1
"""COMBODART 0",1
"""COMPRES GAZE ESTERIL 11FIO 7",1
"""COMPRESSA 11FIOS 7",1
"""COMPRESSA 7",1
"""COMPRESSA DE GAZE 7",1
"""COMPRESSA ESTETO 7",1
"""COMPRESSA GAZE 7",1
"""CON BIOEXT JABORANDI QUILAIA ALECRIM 250ML"",",1
"""CONCARDIO 125MG 30CPR (PORTAL DROGARIA)"",",1
"""CONCARDIO 2",1
"""CONCOR 2",1
"""CONCOR HTC 5MG+12",1
"""CONDRES AH 40+1577MG C/30 CAPS-DEMAIS PROD",1
"""CONDRES AH 40+1577MG C/60 CAPS"",",1
"""CONDROFLEX 1",1
"""CONIDRIN 09% PO SOL NAS SH INF 120ML"",",1
"""CONIDRIN 09% PO SOL NAS SH INF 240ML"",",1
"""COR-SELECT 2",1
"""CORALIT FUNDO NIVELADOR 09L"",",1
"""CORUS H 50/12",1
"""CRE ESP. 2",1
"""CREAM TIINT 48ML RUBY ROSE 02 LONELY""",1
"""CREAM TIINT 48ML RUBY ROSE 03 PURPOSE"",",1
"""CREAM TIINT 48ML RUBY ROSE 04 MEMORIES"",",1
"""CREAM TIINT 48ML RUBY ROSE 05 CONFIDENT"",",1
"""CREAM TIINT 48ML RUBY ROSE 06 FEVER"",",1
"""CREAM TIINT 48ML RUBY ROSE"",",1
"""CRISAPINA 25 MG C/ 30 CPR"",",1
"""CRONOCOR 3125MG C/30 COMP"",",1
"""CRONOCOR 625MG C/30 COMP"",",1
"""CUTENOX 40M/04ML C/10"",",1
"""CYCLOFEMINA C 1 AMP 0",1
"""CYLOCORT 35 G POM"",",1
"""DAIVOBET 50MCGG+0",1
"""DBRIZ 0",1
"""DELINEADOR LIQ. 2",1
"""DERMACYD FEM 200+100ML 199 FDCH""",1
"""DESALEX D12 2",1
"""DESLORAT 0",1
"""DESLORATADINA 0",1
"""DESLORATADINA 125 MG/ML 20ML CIFARMA"",",1
"""DESTADIN 0",1
"""DEXAMETASONA ELX 01MG/ML C/120ML/GEO""",1
"""DEXASON 01MG ELIXIR FR 100ML"",",1
"""DEXAVISON 1MG/ML + 3",1
"""DEXCLOR+BETA 04+0,05MG/ML PL 120ML+CP PRATI"",",1
"""DEXCLORFENIRAMINA+BETAME 2+025MG 20CPR NQ"",",1
"""DEXMINE 005+0,4MGML XPE FR 120ML""",1
"""DEXTAMINE 2MG + 025MG 20CPR"",",1
"""DICL PRAMIPEXOL (C1) 0",1
"""DICL PRAMIPEXOL (C1) 0375MG 30CPR/EUF"",",1
"""DICLOF DIETILAMONIO 11",1
"""DIGOXINA 025MG 20CPR PHB"",",1
"""DIOVAN HCT 160/12",1
"""DIOVAN HCT 320MG+12",1
"""DIOVAN HCT 80/12",1
"""DIUBLOK 50MG + 12",1
"""DK GALAO DARKNESS PRETO 22L"",",1
"""DORMONID 7",1
"""DRENATAN COLIRIO (GELADEIRA) 2",1
"""DROALFA 0",1
"""DROPROPIZINA 1",1
"""DROPROPIZINA 30MG XPE 120ML BIOS-GENERICO"",",1
"""DROSP.+ETINILESTR. 3+002MG CX 72 COMP"",",1
"""DROSPIR+ETINIL 3+003MG 21CP EUROFARMA"",",1
"""DROSPIRENONA+ETINIL 3+002MG 72 CPRS"",",1
"""DROSPIRENONA+ETINILESTRADIOL 3MG+002MG 24 CPR"",",1
"""DULCOLAX GOTAS 7",1
"""DUNIA 35 2+0035MG C/63 COMP REV-SIMILAR"",",1
"""DUO TRAVATAN BAK FREE 2",1
"""DUODEX 3",1
"""DUTAM 0",1
"""ELIQUIS 2",1
"""ELO 3+003MG CX 21 COMP"",",1
"""ENEMIN 7 BISNAGAS X 6",1
"""ENO PROBIOTICO 1",1
"""ENOXALOW 60MG 100MG/ML SOL INJ 10X0",1
"""ENX BUC LISTERINE COOL MINT LV1",1
"""EPIDUO 03 C/45G"",",1
"""EQUIPO MAC BACT INFUSET T500W FILTRO15M INJ LAT 1",1
"""ESMA IMPALA BL NETFLIX BRAND NOVELE ESCANDAL6X1"",",1
"""ESMALTE IMPALA BL APRTA PLAY PEGA A BATIDA 7",1
